State,2003 Net Capacity MW(e) ,2003 Year-To-Date - Megawatt hours,2010 Net Capacity MW(e) ,2010 Year-To-Date - Megawatt hours
ALABAMA,4972,31676953,4985.4,37940821
ARIZONA,3825,28581053,3942,31199935
ARKANSAS,1840,14689416,1835,15022678
CALIFORNIA,4324,35593789,4390,32200757
CONNECTICUT,1996.7,16078095,2102.5,16750304
FLORIDA,3902,30979481,3924,23935921.56
GEORGIA,4040,33256649,4061,33512033
ILLINOIS,11465,94733036,11441,96189587
IOWA,561.91,3987657,601.4,4450640
KANSAS,1165,8889667,1160,9555712
LOUISIANA,2067,16126322,2142,18639347
MARYLAND,1703,13690713,1705,13993948
MASSACHUSETTS,684.7,4977955,684.7,5917813
MICHIGAN,3971,27953563,3953,29624580
MINNESOTA,1613,13413828,1668,13478046
MISSISSIPPI,1263,10902456,1251,9643241
MISSOURI,1137,9699589,1190,8996033
NEBRASKA,1232.75,7996902,1252.1,11054337
NEW HAMPSHIRE,1159.3,9276288,1247.3,10910055
NEW JERSEY,3908,29709201,4107.5,32771305
NEW YORK,5028.4,40679205,5261.9,41869535
NORTH CAROLINA,4783,40906900,4958,40739529
OHIO,2108,8475016,2134,15804803
PENNSYLVANIA,9175,74360862,9455,77828348
SOUTH CAROLINA,6472,50417690,6486,51988079
TENNESSEE,3398,24152580,3400.7,27739221
TEXAS,4768,33437484,4927,41335248
VERMONT,506,4444152,620.3,4782473
VIRGINIA,3467,24816022,3404,26571899
WASHINGTON,1108,7614708,1131,9241133
WISCONSIN,1565.1,12215463,1582.9,13280939
